Ion = Lithium     , Mass = 6.015122
Tgt =  C (Solid), Density = 2.253 g/cm3
Stopping Units = MeV/(mg/cm2) 
Energy(keV)  S(Elec)    S(Nuc)
2.665E+05   1.107E-01  4.634E-05 
2.668E+05   1.106E-01  4.629E-05 
2.671E+05   1.105E-01  4.625E-05 
2.673E+05   1.104E-01  4.621E-05 
2.676E+05   1.103E-01  4.617E-05 
2.679E+05   1.103E-01  4.613E-05 
2.681E+05   1.102E-01  4.608E-05 
2.684E+05   1.101E-01  4.604E-05 
2.687E+05   1.100E-01  4.600E-05 
2.689E+05   1.099E-01  4.596E-05 
2.692E+05   1.098E-01  4.592E-05 
2.695E+05   1.097E-01  4.588E-05 
2.697E+05   1.096E-01  4.584E-05 
2.700E+05   1.096E-01  4.579E-05 
2.703E+05   1.095E-01  4.575E-05 
2.705E+05   1.094E-01  4.571E-05 
2.708E+05   1.093E-01  4.567E-05 
2.710E+05   1.092E-01  4.563E-05 
2.713E+05   1.091E-01  4.559E-05 
2.716E+05   1.090E-01  4.555E-05 
2.718E+05   1.090E-01  4.551E-05 
2.721E+05   1.089E-01  4.547E-05 
2.724E+05   1.088E-01  4.543E-05 
2.726E+05   1.087E-01  4.539E-05 
2.729E+05   1.086E-01  4.534E-05 
2.732E+05   1.085E-01  4.530E-05 
2.734E+05   1.084E-01  4.526E-05 
2.737E+05   1.084E-01  4.522E-05 
2.740E+05   1.083E-01  4.518E-05 
2.742E+05   1.082E-01  4.514E-05 
2.745E+05   1.081E-01  4.510E-05 
2.748E+05   1.080E-01  4.506E-05 
2.750E+05   1.079E-01  4.502E-05 
2.753E+05   1.079E-01  4.498E-05 
2.756E+05   1.078E-01  4.494E-05 
2.758E+05   1.077E-01  4.490E-05 
2.761E+05   1.076E-01  4.487E-05 
2.764E+05   1.075E-01  4.483E-05 
2.766E+05   1.074E-01  4.479E-05 
2.769E+05   1.074E-01  4.475E-05 
2.772E+05   1.073E-01  4.471E-05 
2.774E+05   1.072E-01  4.467E-05 
2.777E+05   1.071E-01  4.463E-05 
2.780E+05   1.070E-01  4.459E-05 
2.782E+05   1.070E-01  4.455E-05 
2.785E+05   1.069E-01  4.451E-05 
2.788E+05   1.068E-01  4.447E-05 
2.790E+05   1.067E-01  4.443E-05 
2.793E+05   1.066E-01  4.440E-05 
2.796E+05   1.065E-01  4.436E-05 
2.798E+05   1.065E-01  4.432E-05 
2.801E+05   1.064E-01  4.428E-05 
2.804E+05   1.063E-01  4.424E-05 
2.806E+05   1.062E-01  4.420E-05 
2.809E+05   1.061E-01  4.417E-05 
2.812E+05   1.061E-01  4.413E-05 
2.814E+05   1.060E-01  4.409E-05 
2.817E+05   1.059E-01  4.405E-05 
2.820E+05   1.058E-01  4.401E-05 
2.822E+05   1.057E-01  4.398E-05 
2.825E+05   1.057E-01  4.394E-05 
2.828E+05   1.056E-01  4.390E-05 
2.830E+05   1.055E-01  4.386E-05 
2.833E+05   1.054E-01  4.382E-05 
2.836E+05   1.053E-01  4.379E-05 
2.838E+05   1.053E-01  4.375E-05 
2.841E+05   1.052E-01  4.371E-05 
2.843E+05   1.051E-01  4.367E-05 
2.846E+05   1.050E-01  4.364E-05 
2.849E+05   1.050E-01  4.360E-05 
2.851E+05   1.049E-01  4.356E-05 
2.854E+05   1.048E-01  4.353E-05 
2.857E+05   1.047E-01  4.349E-05 
2.859E+05   1.046E-01  4.345E-05 
2.862E+05   1.046E-01  4.341E-05 
2.865E+05   1.045E-01  4.338E-05 
2.867E+05   1.044E-01  4.334E-05 
2.870E+05   1.043E-01  4.330E-05 
2.873E+05   1.043E-01  4.327E-05 
2.875E+05   1.042E-01  4.323E-05 
2.878E+05   1.041E-01  4.319E-05 
2.881E+05   1.040E-01  4.316E-05 
2.883E+05   1.039E-01  4.312E-05 
2.886E+05   1.039E-01  4.308E-05 
2.889E+05   1.038E-01  4.305E-05 
2.891E+05   1.037E-01  4.301E-05 
2.894E+05   1.036E-01  4.298E-05 
2.897E+05   1.036E-01  4.294E-05 
2.899E+05   1.035E-01  4.290E-05 
2.902E+05   1.034E-01  4.287E-05 
2.905E+05   1.033E-01  4.283E-05 
2.907E+05   1.033E-01  4.280E-05 
2.910E+05   1.032E-01  4.276E-05 
2.913E+05   1.031E-01  4.272E-05 
2.915E+05   1.030E-01  4.269E-05 
2.918E+05   1.030E-01  4.265E-05 
2.921E+05   1.029E-01  4.262E-05 
2.923E+05   1.028E-01  4.258E-05 
2.926E+05   1.027E-01  4.255E-05 
2.929E+05   1.027E-01  4.251E-05 
2.931E+05   1.026E-01  4.248E-05 
2.934E+05   1.025E-01  4.244E-05 
2.937E+05   1.024E-01  4.241E-05 
2.939E+05   1.024E-01  4.237E-05 
2.942E+05   1.023E-01  4.234E-05 
2.945E+05   1.022E-01  4.230E-05 
2.947E+05   1.021E-01  4.227E-05 
2.950E+05   1.021E-01  4.223E-05 
2.953E+05   1.020E-01  4.220E-05 
2.955E+05   1.019E-01  4.216E-05 
2.958E+05   1.019E-01  4.213E-05 
2.961E+05   1.018E-01  4.209E-05 
2.963E+05   1.017E-01  4.206E-05 
2.966E+05   1.016E-01  4.202E-05 
2.969E+05   1.016E-01  4.199E-05 
2.971E+05   1.015E-01  4.195E-05 
2.974E+05   1.014E-01  4.192E-05 
2.976E+05   1.013E-01  4.189E-05 
2.979E+05   1.013E-01  4.185E-05 
2.982E+05   1.012E-01  4.182E-05 
2.984E+05   1.011E-01  4.178E-05 
2.987E+05   1.011E-01  4.175E-05 
2.990E+05   1.010E-01  4.171E-05 
2.992E+05   1.009E-01  4.168E-05 
2.995E+05   1.008E-01  4.165E-05 
2.998E+05   1.008E-01  4.161E-05 
3.000E+05   1.007E-01  4.158E-05 
3.003E+05   1.006E-01  4.155E-05 
3.006E+05   1.006E-01  4.151E-05 
3.008E+05   1.005E-01  4.148E-05 
3.011E+05   1.004E-01  4.144E-05 
3.014E+05   1.003E-01  4.141E-05 
3.016E+05   1.003E-01  4.138E-05 
3.019E+05   1.002E-01  4.134E-05 
3.022E+05   1.001E-01  4.131E-05 
3.024E+05   1.001E-01  4.128E-05 
3.027E+05   9.999E-02  4.124E-05 
3.030E+05   9.992E-02  4.121E-05 
3.032E+05   9.985E-02  4.118E-05 
3.035E+05   9.978E-02  4.115E-05 
3.038E+05   9.971E-02  4.111E-05 
3.040E+05   9.964E-02  4.108E-05 
3.043E+05   9.958E-02  4.105E-05 
3.046E+05   9.951E-02  4.101E-05 
3.048E+05   9.944E-02  4.098E-05 
3.051E+05   9.937E-02  4.095E-05 
3.054E+05   9.930E-02  4.092E-05 
3.056E+05   9.923E-02  4.088E-05 
3.059E+05   9.916E-02  4.085E-05 
3.062E+05   9.909E-02  4.082E-05 
3.064E+05   9.902E-02  4.079E-05 
3.067E+05   9.896E-02  4.075E-05 
3.070E+05   9.889E-02  4.072E-05 
3.072E+05   9.882E-02  4.069E-05 
3.075E+05   9.875E-02  4.066E-05 
3.078E+05   9.868E-02  4.062E-05 
3.080E+05   9.862E-02  4.059E-05 
3.083E+05   9.855E-02  4.056E-05 
3.086E+05   9.848E-02  4.053E-05 
3.088E+05   9.841E-02  4.050E-05 
3.091E+05   9.835E-02  4.046E-05 
3.094E+05   9.828E-02  4.043E-05 
3.096E+05   9.821E-02  4.040E-05 
3.099E+05   9.814E-02  4.037E-05 
3.102E+05   9.808E-02  4.034E-05 
3.104E+05   9.801E-02  4.031E-05 
3.107E+05   9.794E-02  4.027E-05 
3.109E+05   9.788E-02  4.024E-05 
3.112E+05   9.781E-02  4.021E-05 
3.115E+05   9.774E-02  4.018E-05 
3.117E+05   9.768E-02  4.015E-05 
3.120E+05   9.761E-02  4.012E-05 
3.123E+05   9.755E-02  4.009E-05 
3.125E+05   9.748E-02  4.005E-05 
3.128E+05   9.741E-02  4.002E-05 
3.131E+05   9.735E-02  3.999E-05 
3.133E+05   9.728E-02  3.996E-05 
3.136E+05   9.722E-02  3.993E-05 
3.139E+05   9.715E-02  3.990E-05 
3.141E+05   9.709E-02  3.987E-05 
3.144E+05   9.702E-02  3.984E-05 
3.147E+05   9.696E-02  3.981E-05 
3.149E+05   9.689E-02  3.978E-05 
3.152E+05   9.683E-02  3.975E-05 
3.155E+05   9.676E-02  3.971E-05 
3.157E+05   9.670E-02  3.968E-05 
3.160E+05   9.663E-02  3.965E-05 
3.163E+05   9.657E-02  3.962E-05 
3.165E+05   9.650E-02  3.959E-05 
3.168E+05   9.644E-02  3.956E-05 
3.171E+05   9.637E-02  3.953E-05 
3.173E+05   9.631E-02  3.950E-05 
3.176E+05   9.625E-02  3.947E-05 
3.179E+05   9.618E-02  3.944E-05 
3.181E+05   9.612E-02  3.941E-05 
3.184E+05   9.605E-02  3.938E-05 
3.187E+05   9.599E-02  3.935E-05 
3.189E+05   9.593E-02  3.932E-05 
3.192E+05   9.586E-02  3.929E-05 
3.195E+05   9.580E-02  3.926E-05 
3.197E+05   9.574E-02  3.923E-05 
3.200E+05   9.567E-02  3.920E-05 
3.203E+05   9.561E-02  3.917E-05 
3.205E+05   9.555E-02  3.914E-05 
3.208E+05   9.548E-02  3.911E-05 
3.211E+05   9.542E-02  3.908E-05 
3.213E+05   9.536E-02  3.905E-05 
3.216E+05   9.530E-02  3.902E-05 
3.219E+05   9.523E-02  3.899E-05 
3.221E+05   9.517E-02  3.896E-05 
3.224E+05   9.511E-02  3.893E-05 
3.227E+05   9.505E-02  3.890E-05 
3.229E+05   9.498E-02  3.888E-05 
3.232E+05   9.492E-02  3.885E-05 
3.235E+05   9.486E-02  3.882E-05 
3.237E+05   9.480E-02  3.879E-05 
3.240E+05   9.474E-02  3.876E-05 
3.242E+05   9.468E-02  3.873E-05 
3.245E+05   9.461E-02  3.870E-05 
3.248E+05   9.455E-02  3.867E-05 
3.250E+05   9.449E-02  3.864E-05 
3.253E+05   9.443E-02  3.861E-05 
3.256E+05   9.437E-02  3.858E-05 
3.258E+05   9.431E-02  3.856E-05 
3.261E+05   9.425E-02  3.853E-05 
3.264E+05   9.419E-02  3.850E-05 
3.266E+05   9.413E-02  3.847E-05 
3.269E+05   9.406E-02  3.844E-05 
3.272E+05   9.400E-02  3.841E-05 
3.274E+05   9.394E-02  3.838E-05 
3.277E+05   9.388E-02  3.835E-05 
3.280E+05   9.382E-02  3.833E-05 
3.282E+05   9.376E-02  3.830E-05 
3.285E+05   9.370E-02  3.827E-05 
3.288E+05   9.364E-02  3.824E-05 
3.290E+05   9.358E-02  3.821E-05 
3.293E+05   9.352E-02  3.818E-05 
3.296E+05   9.346E-02  3.816E-05 
3.298E+05   9.340E-02  3.813E-05 
3.301E+05   9.334E-02  3.810E-05 
3.304E+05   9.328E-02  3.807E-05 
3.306E+05   9.322E-02  3.804E-05 
3.309E+05   9.316E-02  3.802E-05 
3.312E+05   9.311E-02  3.799E-05 
3.314E+05   9.305E-02  3.796E-05 
3.317E+05   9.299E-02  3.793E-05 
3.320E+05   9.293E-02  3.790E-05 
3.322E+05   9.287E-02  3.788E-05 
3.325E+05   9.281E-02  3.785E-05 
3.328E+05   9.275E-02  3.782E-05 
3.330E+05   9.269E-02  3.779E-05 
3.333E+05   9.263E-02  3.777E-05 
3.336E+05   9.258E-02  3.774E-05 
3.338E+05   9.252E-02  3.771E-05 
3.341E+05   9.246E-02  3.768E-05 
3.344E+05   9.240E-02  3.766E-05 
3.346E+05   9.234E-02  3.763E-05 
3.349E+05   9.229E-02  3.760E-05 
3.352E+05   9.223E-02  3.757E-05 
3.354E+05   9.217E-02  3.755E-05 
3.357E+05   9.211E-02  3.752E-05 
3.360E+05   9.205E-02  3.749E-05 
3.362E+05   9.200E-02  3.746E-05 
3.365E+05   9.194E-02  3.744E-05 
3.368E+05   9.188E-02  3.741E-05 
3.370E+05   9.182E-02  3.738E-05 
3.373E+05   9.177E-02  3.736E-05 
3.375E+05   9.171E-02  3.733E-05 
3.378E+05   9.165E-02  3.730E-05 
3.381E+05   9.160E-02  3.728E-05 
3.383E+05   9.154E-02  3.725E-05 
3.386E+05   9.148E-02  3.722E-05 
3.389E+05   9.142E-02  3.720E-05 
3.391E+05   9.137E-02  3.717E-05 
3.394E+05   9.131E-02  3.714E-05 
3.397E+05   9.125E-02  3.712E-05 
3.399E+05   9.120E-02  3.709E-05 
3.402E+05   9.114E-02  3.706E-05 
3.405E+05   9.109E-02  3.704E-05 
3.407E+05   9.103E-02  3.701E-05 
3.410E+05   9.097E-02  3.698E-05 
3.413E+05   9.092E-02  3.696E-05 
3.415E+05   9.086E-02  3.693E-05 
3.418E+05   9.081E-02  3.690E-05 
3.421E+05   9.075E-02  3.688E-05 
3.423E+05   9.069E-02  3.685E-05 
3.426E+05   9.064E-02  3.682E-05 
3.429E+05   9.058E-02  3.680E-05 
3.431E+05   9.053E-02  3.677E-05 
3.434E+05   9.047E-02  3.675E-05 
3.437E+05   9.042E-02  3.672E-05 
3.439E+05   9.036E-02  3.669E-05 
3.442E+05   9.031E-02  3.667E-05 
3.445E+05   9.025E-02  3.664E-05 
3.447E+05   9.020E-02  3.662E-05 
3.450E+05   9.014E-02  3.659E-05 
3.453E+05   9.009E-02  3.656E-05 
3.455E+05   9.003E-02  3.654E-05 
3.458E+05   8.998E-02  3.651E-05 
3.461E+05   8.992E-02  3.649E-05 
3.463E+05   8.987E-02  3.646E-05 
3.466E+05   8.981E-02  3.644E-05 
3.469E+05   8.976E-02  3.641E-05 
3.471E+05   8.970E-02  3.638E-05 
3.474E+05   8.965E-02  3.636E-05 
3.477E+05   8.960E-02  3.633E-05 
3.479E+05   8.954E-02  3.631E-05 
3.482E+05   8.949E-02  3.628E-05 
3.485E+05   8.943E-02  3.626E-05 
3.487E+05   8.938E-02  3.623E-05 
3.490E+05   8.933E-02  3.621E-05 
3.493E+05   8.927E-02  3.618E-05 
3.495E+05   8.922E-02  3.616E-05 
3.498E+05   8.917E-02  3.613E-05 
3.501E+05   8.911E-02  3.611E-05 
3.503E+05   8.906E-02  3.608E-05 
3.506E+05   8.901E-02  3.606E-05 
3.508E+05   8.895E-02  3.603E-05 
3.511E+05   8.890E-02  3.601E-05 
3.514E+05   8.885E-02  3.598E-05 
3.516E+05   8.879E-02  3.596E-05 
3.519E+05   8.874E-02  3.593E-05 
3.522E+05   8.869E-02  3.591E-05 
3.524E+05   8.864E-02  3.588E-05 
3.527E+05   8.858E-02  3.586E-05 
3.530E+05   8.853E-02  3.583E-05 
3.532E+05   8.848E-02  3.581E-05 
3.535E+05   8.842E-02  3.578E-05 
3.538E+05   8.837E-02  3.576E-05 
3.540E+05   8.832E-02  3.573E-05 
3.543E+05   8.827E-02  3.571E-05 
3.546E+05   8.822E-02  3.568E-05 
3.548E+05   8.816E-02  3.566E-05 
3.551E+05   8.811E-02  3.564E-05 
3.554E+05   8.806E-02  3.561E-05 
3.556E+05   8.801E-02  3.559E-05 
3.559E+05   8.796E-02  3.556E-05 
3.562E+05   8.790E-02  3.554E-05 
3.564E+05   8.785E-02  3.551E-05 
3.567E+05   8.780E-02  3.549E-05 
3.570E+05   8.775E-02  3.546E-05 
3.572E+05   8.770E-02  3.544E-05 
3.575E+05   8.765E-02  3.542E-05 
3.578E+05   8.759E-02  3.539E-05 
3.580E+05   8.754E-02  3.537E-05 
3.583E+05   8.749E-02  3.534E-05 
3.586E+05   8.744E-02  3.532E-05 
3.588E+05   8.739E-02  3.530E-05 
3.591E+05   8.734E-02  3.527E-05 
3.594E+05   8.729E-02  3.525E-05 
3.596E+05   8.724E-02  3.522E-05 
3.599E+05   8.719E-02  3.520E-05 
3.602E+05   8.714E-02  3.518E-05 
3.604E+05   8.709E-02  3.515E-05 
3.607E+05   8.703E-02  3.513E-05 
3.610E+05   8.698E-02  3.511E-05 
3.612E+05   8.693E-02  3.508E-05 
3.615E+05   8.688E-02  3.506E-05 
3.618E+05   8.683E-02  3.503E-05 
3.620E+05   8.678E-02  3.501E-05 
3.623E+05   8.673E-02  3.499E-05 
3.626E+05   8.668E-02  3.496E-05 
3.628E+05   8.663E-02  3.494E-05 
3.631E+05   8.658E-02  3.492E-05 
3.634E+05   8.653E-02  3.489E-05 
3.636E+05   8.648E-02  3.487E-05 
3.639E+05   8.643E-02  3.485E-05 
3.641E+05   8.638E-02  3.482E-05 
3.644E+05   8.633E-02  3.480E-05 
3.647E+05   8.628E-02  3.478E-05 
3.649E+05   8.624E-02  3.475E-05 
3.652E+05   8.619E-02  3.473E-05 
3.655E+05   8.614E-02  3.471E-05 
3.657E+05   8.609E-02  3.468E-05 
3.660E+05   8.604E-02  3.466E-05 
3.663E+05   8.599E-02  3.464E-05 
3.665E+05   8.594E-02  3.461E-05 
3.668E+05   8.589E-02  3.459E-05 
3.671E+05   8.584E-02  3.457E-05 
3.673E+05   8.579E-02  3.455E-05 
3.676E+05   8.574E-02  3.452E-05 
3.679E+05   8.570E-02  3.450E-05 
3.681E+05   8.565E-02  3.448E-05 
3.684E+05   8.560E-02  3.445E-05 
3.687E+05   8.555E-02  3.443E-05 
3.689E+05   8.550E-02  3.441E-05 
3.692E+05   8.545E-02  3.439E-05 
3.695E+05   8.540E-02  3.436E-05 
3.697E+05   8.536E-02  3.434E-05 
