Ion = Lithium     , Mass = 6.015122
Tgt =  C (Solid), Density = 2.253 g/cm3
Stopping Units = MeV/(mg/cm2) 
Energy(keV)  S(Elec)    S(Nuc)
1.415E+05   1.849E-01  8.253E-05 
1.418E+05   1.846E-01  8.239E-05 
1.420E+05   1.844E-01  8.225E-05 
1.423E+05   1.841E-01  8.211E-05 
1.426E+05   1.838E-01  8.197E-05 
1.428E+05   1.835E-01  8.183E-05 
1.431E+05   1.832E-01  8.170E-05 
1.434E+05   1.830E-01  8.156E-05 
1.436E+05   1.827E-01  8.142E-05 
1.439E+05   1.824E-01  8.128E-05 
1.442E+05   1.821E-01  8.115E-05 
1.444E+05   1.819E-01  8.101E-05 
1.447E+05   1.816E-01  8.088E-05 
1.450E+05   1.813E-01  8.074E-05 
1.452E+05   1.810E-01  8.061E-05 
1.455E+05   1.808E-01  8.047E-05 
1.458E+05   1.805E-01  8.034E-05 
1.460E+05   1.802E-01  8.021E-05 
1.463E+05   1.800E-01  8.007E-05 
1.466E+05   1.797E-01  7.994E-05 
1.468E+05   1.794E-01  7.981E-05 
1.471E+05   1.792E-01  7.968E-05 
1.474E+05   1.789E-01  7.955E-05 
1.476E+05   1.786E-01  7.942E-05 
1.479E+05   1.784E-01  7.929E-05 
1.482E+05   1.781E-01  7.916E-05 
1.484E+05   1.779E-01  7.903E-05 
1.487E+05   1.776E-01  7.890E-05 
1.490E+05   1.773E-01  7.877E-05 
1.492E+05   1.771E-01  7.864E-05 
1.495E+05   1.768E-01  7.852E-05 
1.498E+05   1.766E-01  7.839E-05 
1.500E+05   1.763E-01  7.826E-05 
1.503E+05   1.761E-01  7.814E-05 
1.506E+05   1.758E-01  7.801E-05 
1.508E+05   1.756E-01  7.789E-05 
1.511E+05   1.753E-01  7.776E-05 
1.513E+05   1.751E-01  7.764E-05 
1.516E+05   1.748E-01  7.751E-05 
1.519E+05   1.746E-01  7.739E-05 
1.521E+05   1.743E-01  7.727E-05 
1.524E+05   1.741E-01  7.714E-05 
1.527E+05   1.738E-01  7.702E-05 
1.529E+05   1.736E-01  7.690E-05 
1.532E+05   1.733E-01  7.678E-05 
1.535E+05   1.731E-01  7.666E-05 
1.537E+05   1.728E-01  7.654E-05 
1.540E+05   1.726E-01  7.642E-05 
1.543E+05   1.723E-01  7.630E-05 
1.545E+05   1.721E-01  7.618E-05 
1.548E+05   1.719E-01  7.606E-05 
1.551E+05   1.716E-01  7.594E-05 
1.553E+05   1.714E-01  7.582E-05 
1.556E+05   1.711E-01  7.570E-05 
1.559E+05   1.709E-01  7.558E-05 
1.561E+05   1.707E-01  7.547E-05 
1.564E+05   1.704E-01  7.535E-05 
1.567E+05   1.702E-01  7.523E-05 
1.569E+05   1.700E-01  7.512E-05 
1.572E+05   1.697E-01  7.500E-05 
1.575E+05   1.695E-01  7.489E-05 
1.577E+05   1.693E-01  7.477E-05 
1.580E+05   1.690E-01  7.466E-05 
1.583E+05   1.688E-01  7.454E-05 
1.585E+05   1.686E-01  7.443E-05 
1.588E+05   1.683E-01  7.432E-05 
1.591E+05   1.681E-01  7.420E-05 
1.593E+05   1.679E-01  7.409E-05 
1.596E+05   1.676E-01  7.398E-05 
1.599E+05   1.674E-01  7.387E-05 
1.601E+05   1.672E-01  7.375E-05 
1.604E+05   1.670E-01  7.364E-05 
1.607E+05   1.667E-01  7.353E-05 
1.609E+05   1.665E-01  7.342E-05 
1.612E+05   1.663E-01  7.331E-05 
1.615E+05   1.661E-01  7.320E-05 
1.617E+05   1.658E-01  7.309E-05 
1.620E+05   1.656E-01  7.298E-05 
1.623E+05   1.654E-01  7.287E-05 
1.625E+05   1.652E-01  7.276E-05 
1.628E+05   1.650E-01  7.266E-05 
1.631E+05   1.647E-01  7.255E-05 
1.633E+05   1.645E-01  7.244E-05 
1.636E+05   1.643E-01  7.233E-05 
